Dienst;naam;Beschrijving;sub;sub;Status;grondslag;Bron;jargon;regels;actor;informatie;logistiek
Dienst;Tekst;Tekst;Dienst;;;Wetsartikel;Tekst;Tekst;Tekst;Tekst;Tekst;Tekst
1;Dienstverlening (extern);(aggregatie);;;;;;;;;;
2;Registers;(aggregatie);1;Dienstverlening (extern);;;;de registers kennen hun eigen jargon;;bijv. notaris, curator;registers zijn verschillende bronnen;
3;Gastvrouwe rechtspraak;(aggregatie);1;Dienstverlening (extern);;;;;;;;
4;Publiceren uitspraken;(aggregatie);1;Dienstverlening (extern);;;;;;;;
5;Publieksvoorlichting;(aggregatie);1;Dienstverlening (extern);;;;;;;;
6;Behandelen klachten;(aggregatie);1;Dienstverlening (extern);;;;;;;;
7;Beheren en onderhouden register;Het zorgdragen voor de verwerking van wijzigingen;2;Registers;;;;;;;;
8;Beschikbaar stellen register;Het zorgdragen voor de toegankelijkheid cq. beveiliging van registers;2;Registers;;;;;;;;
9;Verstrekken informatie uit register;;2;Registers;;;;;;;;
10;Rapporteren over register;Het opleveren van rapportages over de niet-judiciele registers;2;Registers;;;;;;;;
11;Het aanbieden van vergaderruimtes en werkplekken;;3;Gastvrouwe rechtspraak;;;;;;;;
12;Het aanbieden van internettoegang.;;3;Gastvrouwe rechtspraak;;;;;;;;
13;Het aanbieden van print-, fax- en kopieerfaciliteiten.;;3;Gastvrouwe rechtspraak;;;;;;;;
14;Het aanbieden van kledingfaciliteiten (huur toga).;;3;Gastvrouwe rechtspraak;;;;;;;;
15;Het aanbieden van persruimten en -faciliteiten. ;;3;Gastvrouwe rechtspraak;;;;;;;;
16;Betaalmogelijkheden (betaalzuil, internetkassa). ;Leveren fysieke betaalmogelijkheid en betalingsbewijs. Registreren van de betaling met bijbehorende kenmerken.;3;Gastvrouwe rechtspraak;;;;;;;;
17;TV-verslag uit de rechtszaal;;3;Gastvrouwe rechtspraak;;;;;;;;
18;Het publiceren van rechterlijke uitspraken;Het publiceren van uitspraken op www.rechtspraak.nl.;4;Publiceren uitspraken;;;;;;;;
20;Het binnenhalen, bewerken en gereed maken van uitspraken;Ontvangst/verstrekking van uitspraken van/aan Hoge Raad, Raad van State, OM.;4;Publiceren uitspraken;;;;;;;;
21;Het breed voorlichten van het publiek.;;5;Publieksvoorlichting;;;;;;;;
22;Het opstellen van persberichten.;;5;Publieksvoorlichting;;;;;;;;
23;Het te woord staan van de pers en andere media.;;5;Publieksvoorlichting;;;;;;;;
25;Het aannemen, registreren en behandelen van klachten.;;6;Behandelen klachten;;;;;;;;
26;Het verrichten van nader onderzoek naar de klacht.;;6;Behandelen klachten;;;;;;;;
27;Het opstellen van een uitspraak n.a.v. de klacht.;;6;Behandelen klachten;;;;;;;;
28;Het inlichten van de klager over de uitspraak en het vervolg.;;6;Behandelen klachten;;;;;;;;
29;Faciliteren procederen;(aggregatie);;;;;;jargon is afhankelijk van het rechtsgebied;bv check op documenten die bij aanbrengen aanwezig moeten zijn;welke actor/rol betrokken verschilt per type proces;"inleidende documenten verschillen; alle zaken kennen een dossier";
30;Digitaal faciliteren procederen;(aggregatie);29;Faciliteren procederen;;;;jargon is afhankelijk van het rechtsgebied;bv check op documenten die bij aanbrengen aanwezig moeten zijn;welke actor/rol betrokken verschilt per type proces;"inleidende documenten verschillen; alle zaken kennen een dossier";
31;Ontvangen en registreren (papier);(aggregatie);29;Faciliteren procederen;;;;;;;;
32;Ontvangen bericht;NB: kent 3 business interfaces: webportaal, post, balie;29;Faciliteren procederen;naar applicatie services;;;;;;;
33;Ontvangstbevestiging bericht;NB: kent 3 business interfaces: webportaal, post, balie (= tekenen voor ontvangst);29;Faciliteren procederen;naar applicatie services;;;;;;;
