Wettelijke taak;naam;Omschrijving;sub;sub;grondslag;Bron
Wettelijke taak;Tekst;Tekst;Wettelijke taak;;Wetsartikel;Tekst
1;Behandelen van een bestuursrechtelijke zaak;De bestuursrechter behandelt zaken tussen de overheid en burgers of bedrijven. Hij behandelt ook conflicten tussen overheidsorganen onderling.;;;Wet RO art 43;
2;Belastingrecht;Rechtszaken over belastingen van lagere overheden (provincies, gemeentes en waterschappen) worden behandeld door alle negentien rechtbanken. Voor kwesties rond rijksbelastingen kunnen belastingplichtigen in eerste instantie terecht bij vijf rechtbanken: Arnhem, Breda, Den Haag, Haarlem en Leeuwarden. Douanezaken (accijnzen en invoerrechten) worden behandeld door de rechtbank Haarlem. ;1;Behandelen van een bestuursrechtelijke zaak;Wet RO art 44;UtI VIRO
3;Bestuursrecht algemeen;Vergunningen, milieurecht, uitkeringen, ambtenarenrecht, bedrijfsorganisatierecht, mededinging, verkeersvoorschriften.;1;Behandelen van een bestuursrechtelijke zaak;Wet RO art 43;UtI VIRO
4;Vreemdelingenrecht;In het vreemdelingenrecht zijn er verschillende procedures, zoals de asielprocedure, de reguliere procedure, de procedure tegen een vrijheidsbeperkende of vrijheidsbenemende maatregel (habeas-corpus procedure) en de procedure op grond van de Wet arbeid vreemdelingen.;1;Behandelen van een bestuursrechtelijke zaak;;UtI VIRO
5;Militair ambtenarenrecht;Militair ambtenarenrecht;3;Bestuursrecht algemeen;Wet RO art 54;
6;Douanezaken;zaken als bedoeld in artikel 27, tweede lid, van de Algemene wet inzake rijksbelastingen;2;Belastingrecht;Wet RO art 56;
7;Handhaving verkeersvoorschriften;Het behandelen en beslissen van zaken op basis van de Wet administratiefrechtelijke handhaving verkeersvoorschriften en op basis van artikel 154b van de Gemeentewet;3;Bestuursrecht algemeen;Wet RO art 71;
8;Verlenen toestemming;Verzameldienst voor alle diensten die te kenmerken zijn doordat de aard van het rechtspreken bestaat uit het verlenen van toestemming.;;;;
9;Beheerbeslissing;Beslissing op hetgeen met in beslag genomen voorwerpen (goederen, vermogensonderdelen) moet gebeuren (Straf).;8;Verlenen toestemming;;
10;Het verstrekken van een machtiging;Minderjarige, onderbewindgestelde, machtiging tot verkoop (handel), opneming patiënt in psychiatrische inrichting, e.v.a.;8;Verlenen toestemming;;ReIS, BOPZ (wikipedia)
11;Toestemming inzet dwangmiddel;Bijvoorbeeld: Mulder dwang, voorlopige hechtenis, beslaglegging (zowel in Civiel als in Straf);8;Verlenen toestemming;;
12;Uitoefenen toezicht;De Rechtspraak kent twee vormen van toezicht, namelijk zaakgebonden en niet-zaakgebonden toezicht. Onder het zaakgebonden toezicht valt het toezicht op de afwikkeling van insolventies (na gerechtelijke uitspraak) door curatoren. Onder het niet-zaaksgebonden toezicht vallen bijvoorbeeld de niet-judiciele taken die wettelijk zijn bepaald zoals het toezicht op notarissen.;;;;grondplaat
13;Toezicht op beroepen;"Tuchtrecht voor advocaten; registeraccountants en accountants-administratieconsulenten; notarissen; en gerechtsdeurwaarders.";12;Uitoefenen toezicht;;
14;Toezicht op curatoren en bewindvoerders;Rekening en verantwoording van onder bewind gestelden (insolventies) en van curatoren.;12;Uitoefenen toezicht;;
15;Behandelen van een klacht van een gedetineerde;Actor = CvT: beslissen op klachten en toezicht houden op de bejegening van gedetineerden.;12;Uitoefenen toezicht;;
16;Registerhandeling;Het uitvoeren van een registratie in één van de registers waarvoor de rechtspraak verantwoordelijk is, of het verstrekken van informatie uit deze registers.;;;;
17;Legalisatie handtekening beëdigd vertaler;"Vertalers mogen nu gewaarmerkte vertalingen maken als zij beëdigd zijn en geregistreerd staan in het Register beëdigde tolken en vertalers (wordt landelijk beheerd door Bureau Wbtv van de Raad voor Rechtsbijstand). 
De rechtbanken hoeven vertalers alleen nog te beëdigen als zij een bewijs van inschrijving kunnen overleggen van Bureau Wbtv. Na het afleggen van de eed of gelofte deponeren zij wel hun handtekening bij de rechtbank. Die voert ook nog steeds de legalisatie uit.";;;Wet beëdigde tolken en vertalers van 1 januari 2009;
18;Gerechtelijk vooronderzoek;Verzameldienst voor alle diensten die de RC Straf levert;23;Behandelen van een strafzaak;;
19;Horen van getuigen en betrokkenen;(komt zowel in Civiel (handel) als in Straf voor buiten de zaakbehandeling);;;;grondplaat
