;naam;straatnaam;nummeraanduiding;postcode;plaatsnaam;GEMEENTENUMMER;GEMEENTENAAM;DENOMINATIE;TELEFOONNUMMER;INTERNETADRES
BevoegdGezag;Naam;Straatnaam;Adres;Adres;Adres;Adres;Adres;BevoegdGezag;BevoegdGezag;BevoegdGezag
10249;Gemeente Emmen;Raadhuisplein;1;7811 AP;EMMEN;114;EMMEN;Openbaar;591685555;www.emmen.nl
10350;Gemeente Harlingen;Noorderhaven;86;8861 AP;HARLINGEN;72;HARLINGEN;Openbaar;517492222;www.harlingen.nl
10426;Gem Hoogez Sap Afd POI;Gorecht-Oost;157;9603 AE;HOOGEZAND;18;HOOGEZAND-SAPPEMEER;Openbaar;598373737;www.hoogezand-sappemeer.nl
10867;Gemeente Terschelling;Burg van Heusdenweg;10-A;8881 EB;WEST-TERSCHELLING;93;TERSCHELLING;Openbaar;562446244;www.terschelling.nl
10925;Gemeente Vlagtwedde;Dorpsstraat;1;9551 AB;SELLINGEN;48;VLAGTWEDDE;Openbaar;599320220;www.vlagtwedde.nl
10928;Gemeente Vlieland;Dorpsstraat;127;8899 AE;VLIELAND;96;VLIELAND;Openbaar;562452700;www.vlieland.nl
11711;Gem Noordenveld;Groene Zoom;16;9301 SJ;RODEN;1699;NOORDENVELD;Openbaar;504065780;www.onderwijs-noordenveld.nl
11764;Gemeente Eijsden-Margraten;Amerikaplein;1;6269 DA;MARGRATEN;1903;EIJSDEN-MARGRATEN;Openbaar;434093055;www.eijsden-margraten.nl
13308;Bestcom Gieterveen;Bonnerveen;36;9511 PN;GIETERVEEN;1680;AA EN HUNZE;Algemeen bijzonder;599647503;                                                                                
13622;Stg Opb PO Haarlemmerm;Wilhelminalaan;55;2132 DV;HOOFDDORP;394;HAARLEMMERMEER;Openbaar;235640999;                                                                                
13662;Stg Openb Ondw Present;De Middend;104-108;1613 KZ;GROOTEBROEK;532;STEDE BROEC;Openbaar;228523857;www.openbaaronderwijspresent.nl
13674;Stichting Oog;Hysopveld;1-A;5467 KG;VEGHEL;860;VEGHEL;Openbaar;413321248;www.stichtingoog.nl
13682;Opb Rp Opb PO Oegstgeest;Toorenveltstraat;2;2343 XV;OEGSTGEEST;579;OEGSTGEEST;Openbaar;715150823;                                                                                
13683;Schoolbest L&E Nrd Groningen;A G Bellstraat;2;9989 AT;WARFFUM;1651;EEMSMOND;Openbaar;595425005;www.lauwerseneems.nl
13785;BC OPO Assen;Obrechtlaan;3-B;9402 TB;ASSEN;106;ASSEN;Openbaar;592366438;www.plateau-assen.nl
