PROC_IDENT;PROC_FUNC;FUNCTIE_OMS;INK_UITG_IND;TARIEF_CODE_PRV;BER_NR_FUNC;REG_DAT_PR_VL;PROC_IDENT_COMB;PROC_FUNC_COMB;PROD_CODE_PR_V;B_DAT_PROD_PR_V
8;5;Aanvraagbericht;0;0;17;19941111;NULL;NULL;NOPROD;20000101
8;7;Geslaagde nr 4;1;0;9;19941111;NULL;NULL;NOPROD;20000101
8;8;Geslaagde nr 5;1;0;9;19941111;NULL;NULL;NOPROD;20000101
8;9;Mislukt;1;0;9;19941111;NULL;NULL;NOPROD;20000101
9;8;Geslaagd;1;0;17;19941111;NULL;NULL;NOPROD;20000101
9;9;Mislukt;1;0;17;19941111;NULL;NULL;NOPROD;20000101
11;8;Geslaagd;1;0;17;19941111;NULL;NULL;NOPROD;20000101
11;9;Mislukt;1;0;17;19941111;NULL;NULL;NOPROD;20000101
13;1;AANVRAAGBERICHT;0;0;2;20110818;NULL;NULL;NOPROD;20040101
13;8;ANTWOORDBERICHT;1;0;2;19941111;NULL;NULL;NOPROD;20040101
13;13;FOUTBERICHT;1;0;2;19941111;NULL;NULL;NOPROD;20040101
16;8;Geslaagd;1;0;17;19941111;NULL;NULL;NOPROD;20000101
16;9;Mislukt;1;0;17;19941111;NULL;NULL;NOPROD;20000101
19;8;Geslaagd;1;0;17;19941111;NULL;NULL;NOPROD;20000101
19;9;Mislukt;1;0;17;19941111;NULL;NULL;NOPROD;20000101
20;2;Geslaagd;1;1201;3;19941111;NULL;NULL;30110703;19990101
20;9;Mislukt;1;0;3;19941111;NULL;NULL;30110703;19990101
21;2;GESLAAGD;1;0;0;19981009;NULL;NULL;NOPROD;20000101
21;12;?;1;0;0;20000121;NULL;NULL;NOPROD;20000101
22;2;ANTWOORDBERICHT;1;0;0;19981113;NULL;NULL;NOPROD;20000101
22;9;FOUTBERICHT;1;0;0;19981113;NULL;NULL;NOPROD;20000101
23;2;ANTWOORDBERICHT;1;0;0;19981113;NULL;NULL;NOPROD;20000101
23;9;FOUTBERICHT;1;0;0;19981113;NULL;NULL;NOPROD;20000101
25;2;ANTWOORDBERICHT;1;0;0;19981113;NULL;NULL;NOPROD;20000101
25;9;FOUTBERICHT;1;0;0;19981113;NULL;NULL;NOPROD;20000101
26;2;ANTWOORDBERICHT;1;0;0;19981113;NULL;NULL;NOPROD;20000101
26;9;FOUTBERICHT;1;0;0;19981113;NULL;NULL;NOPROD;20000101
27;7;?;1;0;0;19981113;NULL;NULL;30110703;20030101
27;9;?;1;0;0;19981113;NULL;NULL;30110703;20030101
28;1;Aanvraagbericht;0;0;4;19941111;NULL;NULL;NOPROD;20000101
28;2;Geslaagd;1;0;4;19941111;NULL;NULL;NOPROD;20000101
28;9;Mislukt;1;0;4;19941111;NULL;NULL;NOPROD;20000101
30;1;AANVRAAG BERICHT GEBRUIKER;0;0;14;19950427;NULL;NULL;NOPROD;20040101
30;2;ANTWOORDBERICHT RDW;1;0;14;19950427;NULL;NULL;30110705;19960101
30;9;FOUTBERICHT RDW;1;0;14;19950427;NULL;NULL;30110705;19960101
31;8;Geslaagd;1;0;17;19941111;NULL;NULL;NOPROD;20000101
31;9;Mislukt;1;0;17;19941111;NULL;NULL;NOPROD;20000101
32;8;Geslaagd;1;0;17;19941111;NULL;NULL;NOPROD;20000101
32;9;Mislukt;1;0;17;19941111;NULL;NULL;NOPROD;20000101
33;8;Geslaagd;1;0;17;19941111;NULL;NULL;NOPROD;20000101
33;9;Mislukt;1;0;17;19941111;NULL;NULL;NOPROD;20000101
34;8;Geslaagd;1;0;17;19941111;NULL;NULL;NOPROD;20000101
34;9;Mislukt;1;0;17;19941111;NULL;NULL;NOPROD;20000101
