PROD_CODE;PROD_OMS;NORM_TYD_ADM;PROD_RDW_PROD_D;SRT_WERK_INSTR;WERK_INSTR_VNR;PROC_ID_PROD;SOORT_PROD;B_DAT_PROD;E_DAT_PROD;PROD_KLAS;ART_SL_KAPSTOK;STEEK_PR_P_PROD;MAX_ST_PR_PROD;SCH_T_WO_PROD;ORG_OND_PROD;TYD_STEMPEL;PRES_GROEP_PROD;PRES_VNR_PROD
1EAFGNLR;Eerste afgifte NL rijbewijs;NULL;30232101;NULL;NULL;1960;A;20060928;29991231;NULL;NULL;NULL;NULL;550;UR;3640436072;B;3
A3E395;Aanvragen 3e395;NULL;NULL;NULL;NULL;1941;A;20060928;29991231;NULL;NULL;NULL;NULL;550;UR;3640436097;F;NULL
AANMBEG;Aanmelden begeleider;NULL;30440106;NULL;NULL;2731;A;20120229;29991231;NULL;NULL;NULL;NULL;550;UR;3640436116;S;1
AFORMBP;Aanvragen aanvraagformulier begeleiderspas;NULL;NULL;NULL;NULL;2733;A;20120229;29991231;NULL;NULL;NULL;NULL;550;UR;3640436129;S;NULL
ARCHIEFDOC;Archiveren documenten;NULL;NULL;NULL;NULL;3016;A;20141219;29991231;NULL;NULL;NULL;NULL;550;UR;3640436153;W;1
AVRBGPAS;Aanvragen begeleiderspas;NULL;30440107;NULL;NULL;2732;A;20120229;29991231;NULL;NULL;NULL;NULL;550;UR;3640436164;S;2
BEMABURB;Beëindigen maatregel buitenlands rijbewijs;NULL;NULL;NULL;NULL;2112;A;20070502;29991231;NULL;NULL;NULL;NULL;550;UR;3640436183;N;2
BOMWC;Blokkeren omwisselingscertificaat;NULL;NULL;NULL;NULL;2359;A;20081030;29991231;NULL;NULL;NULL;NULL;550;UR;3640436198;M;NULL
BVVV;Blokkeren verklaring van vakbekwaamheid;NULL;NULL;NULL;NULL;2326;A;20080909;29991231;NULL;NULL;NULL;NULL;550;UR;3640436218;L;1
BWRRRB;In beslag genomen rijbewijzen;NULL;NULL;NULL;NULL;2685;A;20101210;29991231;NULL;NULL;NULL;NULL;550;UR;3640436245;Q;3
COPYCONF;Reproduceer rijbewijsaanvraagformulier;NULL;NULL;NULL;NULL;2105;A;20070404;29991231;NULL;NULL;NULL;NULL;550;UR;3640436257;NULL;NULL
CORADAT;Corrigeren afgiftedatum rijbewijs;NULL;NULL;NULL;NULL;2471;A;20120727;29991231;NULL;NULL;NULL;NULL;550;UR;3640436271;R;3
CORUDAT;Corrigeren uitreikdatum;NULL;NULL;NULL;NULL;2472;A;20101208;29991231;NULL;NULL;NULL;NULL;550;UR;3640436286;R;2
CORVERVRYB;Corrigeren vervangen rijbewijsnummer;NULL;NULL;NULL;NULL;2592;A;20101208;29991231;NULL;NULL;NULL;NULL;550;UR;3640436300;R;7
CORWPASHND;Vastleggen correctiewaarden pasfoto/handtekening;NULL;NULL;NULL;NULL;2995;A;20141029;29991231;NULL;NULL;NULL;NULL;550;UR;3640436323;U;1
DOMWC;Deblokkeren omwisselingscertificaat;NULL;NULL;NULL;NULL;2360;A;20081030;29991231;NULL;NULL;NULL;NULL;550;UR;3640436400;M;3
DVVV;Deblokkeren Verklaring van Vakbekwaamheid;NULL;NULL;NULL;NULL;2363;A;20081030;29991231;NULL;NULL;NULL;NULL;550;UR;3640436427;L;2
ECHTBUI;Echtheidsverklaring buitenlandse instantie;NULL;NULL;NULL;NULL;2046;A;20070425;29991231;NULL;NULL;NULL;NULL;550;UR;3640436441;J;2
ECHTIVW;Echtheidsverklaring ILT;NULL;NULL;NULL;NULL;2180;A;20080301;29991231;NULL;NULL;NULL;NULL;550;UR;3640436456;J;3
ECHTPAR;Echtheidsverklaring particulier;NULL;30130301;NULL;NULL;2043;A;20070425;29991231;NULL;NULL;NULL;NULL;550;UR;3640436470;J;NULL
ECHTPOL;Echtheidsverklaring politie of arrondissement;NULL;NULL;NULL;NULL;2045;A;20070425;29991231;NULL;NULL;NULL;NULL;550;UR;3640436485;J;1
ECHTREC;Echtheidsverklaring Recidiveregeling;NULL;30130301;NULL;NULL;2620;A;20101208;29991231;NULL;NULL;NULL;NULL;550;UR;3640436499;J;5
ECHTVERZ;Echtheidsverklaring verzekeringsmaatschappij;NULL;30130301;NULL;NULL;2181;A;20080301;29991231;NULL;NULL;NULL;NULL;550;UR;3640436519;J;4
HERP;Herprint rijbewijs;NULL;NULL;NULL;NULL;1944;A;20060928;29991231;NULL;NULL;NULL;NULL;550;UR;3640436531;H;NULL
HERPBP;Herprint begeleiderspas;NULL;NULL;NULL;NULL;2734;A;20120229;29991231;NULL;NULL;NULL;NULL;550;UR;3640436547;S;3
HERPNPH;Herprint rijbewijs met nieuwe pasfoto/handtekening;NULL;NULL;NULL;NULL;1945;A;20060928;29991231;NULL;NULL;NULL;NULL;550;UR;3640436575;H;1
OMWBVA;Omwisselen buitenlands vakbekwaamheidsdocument tot VvV;NULL;NULL;NULL;NULL;2325;A;20080909;29991231;NULL;NULL;NULL;NULL;550;UR;3640436587;L;4
OMWBVD;Omwisselen buitenlands vakbekwaamheidsdocument tot code op RBW;NULL;NULL;NULL;NULL;2327;A;20080909;29991231;NULL;NULL;NULL;NULL;550;UR;3640436607;L;5
OMWEU/EER;Omwisseling rijbewijs EU/EER;NULL;NULL;NULL;NULL;1807;A;20060928;29991231;NULL;NULL;NULL;NULL;550;UR;3640436621;A;NULL
OMWLIN;Omwisseling oud linnen rijbewijs via gemeente;NULL;NULL;NULL;NULL;1956;A;20060928;29991231;NULL;NULL;NULL;NULL;550;UR;3640436637;A;4
OMWMIL;Omwisseling militair rijvaardigheidsbewijs via gemeente;NULL;NULL;NULL;NULL;1955;A;20060928;29991231;NULL;NULL;NULL;NULL;550;UR;3640436654;A;3
OMWNOC;Omwisseling rijbewijs niet omwisselbare categorieën van voor 010696;NULL;NULL;NULL;NULL;1954;A;20060928;29991231;NULL;NULL;NULL;NULL;550;UR;3640436669;A;2
OMWOVL;Omwisseling overige landen;NULL;NULL;NULL;NULL;1953;A;20060928;29991231;NULL;NULL;NULL;NULL;550;UR;3640436682;A;1
OMWPRIV;Omwisseling rijbewijs geprivilegieerden;NULL;30232101;NULL;NULL;1961;A;20060928;29991231;NULL;NULL;NULL;NULL;550;UR;3640436698;C;NULL
OMWTRKCERT;Omwisselen trekkercertificaat tot VvR T;NULL;NULL;NULL;NULL;2980;A;20150617;29991231;NULL;NULL;NULL;NULL;550;UR;3643527800;V;1
ONGPAS;Ongeldig verklaren begeleiderspas;NULL;NULL;NULL;NULL;2735;A;20120229;29991231;NULL;NULL;NULL;NULL;550;UR;3640436743;S;4
ONGRBW;Ongeldig verklaren rijbewijs;NULL;NULL;NULL;NULL;2377;A;20081030;29991231;NULL;NULL;NULL;NULL;550;UR;3640436765;P;NULL
OOMWC;Opvoeren omwisselingscertificaat;NULL;NULL;NULL;NULL;2358;A;20081030;29991231;NULL;NULL;NULL;NULL;550;UR;3640436780;M;4
OPBLOKP;Opvoeren blokkade bij persoon;NULL;NULL;NULL;NULL;1942;A;20060928;29991231;NULL;NULL;NULL;NULL;550;UR;3640436805;G;NULL
OPHTAR;Opheffen tarief;NULL;NULL;NULL;NULL;2013;A;20061001;29991231;NULL;NULL;NULL;NULL;550;UR;3640436826;I;NULL
OPMABURB;Opvoeren maatregel buitenlands rijbewijs;NULL;NULL;NULL;NULL;2110;A;20070502;29991231;NULL;NULL;NULL;NULL;550;UR;3640436843;N;NULL
OPVCAT;Toevoegen categorie;NULL;NULL;NULL;NULL;2468;A;20120727;29991231;NULL;NULL;NULL;NULL;550;UR;3640436862;R;4
OPVRYB;Opvoeren Rijbewijs;NULL;NULL;NULL;NULL;2106;A;20070524;29991231;NULL;NULL;NULL;NULL;550;UR;3640436886;NULL;NULL
OPVVDL;Opvoeren verlies / diefstal;NULL;NULL;NULL;NULL;2466;A;20101208;29991231;NULL;NULL;NULL;NULL;550;UR;3640436904;R;NULL
OPVVG;Opvoeren verklaring van geschiktheid;NULL;NULL;NULL;NULL;2058;A;20070302;29991231;NULL;NULL;NULL;NULL;550;UR;3640436922;K;NULL
OPVVR;Opvoeren verklaring van rijvaardigheid;NULL;NULL;NULL;NULL;2059;A;20070302;29991231;NULL;NULL;NULL;NULL;550;UR;3640436938;K;1
OVVV;Opvoeren verklaring van vakbekwaamheid;NULL;NULL;NULL;NULL;2324;A;20080909;29991231;NULL;NULL;NULL;NULL;550;UR;3640436959;L;NULL
OVVVV;Opvoeren Verklaring van Vakbekwaamheid;NULL;NULL;NULL;NULL;2324;A;20080904;20080904;NULL;NULL;NULL;NULL;365;UR;3429514963;NULL;NULL
REGROUTRYB;Opvoeren reguliere routering rijbewijs;NULL;NULL;NULL;NULL;2473;A;20101208;29991231;NULL;NULL;NULL;NULL;550;UR;3640436982;Q;NULL
ROUTRYBMAA;Registreren routering rijbewijs na maatregel;NULL;NULL;NULL;NULL;2474;A;20101208;29991231;NULL;NULL;NULL;NULL;550;UR;3641213257;Q;1
SAMENVP;Samenvoegen persoonsregistratie;NULL;NULL;NULL;NULL;2063;A;20070807;20110630;NULL;NULL;NULL;NULL;84;UR;3518422222;NULL;NULL
SCANDOCS;Scannen documenten;NULL;NULL;NULL;NULL;3016;A;29991231;29991231;NULL;NULL;NULL;NULL;550;UR;3641213283;W;1
TEST;In beslag genomen rijbewijzen;NULL;NULL;NULL;NULL;NULL;A;20100916;20120228;NULL;NULL;NULL;NULL;999;UR;3539410174;NULL;NULL
UBNLR;Uitbreiding NL rijbewijs;NULL;30232101;NULL;NULL;1959;A;20060928;29991231;NULL;NULL;NULL;NULL;550;UR;3641213306;B;2
VERBLOKP;Verwijderen blokkade bij persoon;NULL;NULL;NULL;NULL;1943;A;20060928;29991231;NULL;NULL;NULL;NULL;550;UR;3641213320;G;1
VERMAATR;Verwijderen maatregel;NULL;NULL;NULL;NULL;2467;A;20101208;29991231;NULL;NULL;NULL;NULL;550;UR;3641213342;R;8
VERVVG;Verwijderen verklaring van geschiktheid;NULL;NULL;NULL;NULL;2484;A;20090904;29991231;NULL;NULL;NULL;NULL;550;UR;3641213366;K;2
VERVVR;Verwijderen verklaring van rijvaardigheid;NULL;NULL;NULL;NULL;2485;A;20090904;29991231;NULL;NULL;NULL;NULL;550;UR;3641213381;K;3
VERWAAN;Verwijderen rijbewijsaanvraag;NULL;NULL;NULL;NULL;2096;A;20070319;29991231;NULL;NULL;NULL;NULL;550;UR;3641213399;NULL;NULL
VERWCAT;Verwijderen categorie;NULL;NULL;NULL;NULL;2469;A;20120727;29991231;NULL;NULL;NULL;NULL;550;UR;3641213418;R;6
VERWVDL;Verwijderen verlies / diefstal;NULL;NULL;NULL;NULL;2589;A;20101208;29991231;NULL;NULL;NULL;NULL;550;UR;3641213434;R;1
VERWVVB;Verwijderen vrijstelling vakbekwaamheid;NULL;NULL;NULL;NULL;2795;A;20130118;29991231;NULL;NULL;NULL;NULL;550;UR;3641213455;L;7
VLNUR;Vastleggen niet uitgereikte rijbewijs;NULL;NULL;NULL;NULL;1946;A;20060928;29991231;NULL;NULL;NULL;NULL;555;UR;3641213480;E;NULL
VNNLR;Vernieuwing NL rijbewijs;NULL;30232101;NULL;NULL;1957;A;20060928;29991231;NULL;NULL;NULL;NULL;550;UR;3641213497;B;NULL
VNNLRVG;Vernieuwing NL rijbewijs aanvrager niet in GBA via gemeente;NULL;NULL;NULL;NULL;1962;A;20060928;29991231;NULL;NULL;NULL;NULL;550;UR;3641213550;D;NULL
VOMWC;Verwijderen omwisselingscertificaat;NULL;NULL;NULL;NULL;2361;A;20081030;29991231;NULL;NULL;NULL;NULL;550;UR;3641213569;M;2
VRWEINDASR;Verwijderen einddatum ASR;NULL;NULL;NULL;NULL;2993;A;20140924;29991231;NULL;NULL;NULL;NULL;550;UR;3641213585;T;1
VRWRYB;Verwijderen rijbewijs;NULL;NULL;NULL;NULL;2590;A;20120727;29991231;NULL;NULL;NULL;NULL;550;UR;3641213601;R;9
VRWVERBLYF;Verwijderen verblijfplaats rijbewijs;NULL;NULL;NULL;NULL;2475;A;20101208;29991231;NULL;NULL;NULL;NULL;550;UR;3641213625;Q;2
VRYVVB;Opvoeren vrijstelling vakbekwaamheid;NULL;NULL;NULL;NULL;2796;A;20130118;29991231;NULL;NULL;NULL;NULL;550;UR;3641213641;L;6
VVNLR;Vervanging NL rijbewijs;NULL;30232101;NULL;NULL;1958;A;20060928;29991231;NULL;NULL;NULL;NULL;550;UR;3641213659;B;1
