PRODUKT_CODE;B_DAT_PRODUKT;PROD_COMP_CODE;B_DAT_PROD_COMP;E_DAT_PROD_COMP;SOORT_PROD_COMP;KOST_PL_E_COMP;KOST_PL_H_COMP;GB_NR_PROD_COMP;BEDR_PROD_COMP;BTW_C_PROD_COMP;BTW_P_PROD_COMP;MUT_DAT_PR_COMP;AMBT_CODE_MUT;TYD_STEMPEL
*RBD0001;20000101;1;20000101;99999999;O;1011;1011;18101010;0.00;;0.00;20010616;RAP;3201759078
*RBD0001;20000101;2;20000101;99999999;K;1011;1011;18101010;0.00;;0.00;20010616;RAP;3201759078
*RBD0001;19971101;1;19971101;19991231;O;1000;1;16005001;0.00;;0.00;20010616;RAP;3201759078
*RBD0001;19971101;2;19971101;19991231;K;1000;1;16005001;0.00;;0.00;20010616;RAP;3201759078
001;20090311;1;20090311;20091231;O;2050;1071;82120900;15.00;;0.00;20091102;SAP;3466256504
001;20090311;2;20090311;20091231;K;2050;1071;62099999;1.00;;0.00;20091102;SAP;3466256504
001;20090205;1;20090205;20090310;O;2050;1071;82120900;15.00;;0.00;20090204;SAP;3445787055
001;20090205;2;20090205;20090310;K;2050;1071;62099999;1.00;;0.00;20090204;SAP;3445787055
001;20070106;1;20070106;20090204;O;2050;1071;82120900;15.00;;0.00;20070105;SAP;3442842114
001;20070106;2;20070106;20090204;K;2050;1071;62099999;1.00;;0.00;20070105;SAP;3442842114
001;20050706;1;20050706;20070105;O;2050;1071;82120900;15.00;;0.00;20050705;SAP;3377091734
001;20050706;2;20050706;20070105;K;2050;1071;62099999;1.00;;0.00;20050705;SAP;3377091734
001;20050527;1;20050527;20050705;O;2050;1071;82181000;15.00;;0.00;20050526;SAP;3329658047
001;20050527;2;20050527;20050705;K;2050;1071;62099999;1.00;;0.00;20050526;SAP;3329658047
001;20040101;1;20040101;20050526;O;6220;1071;82120900;15.00;;0.00;20050111;RAP;3326196069
001;20040101;2;20040101;20050526;K;6220;1071;62099999;1.00;;0.00;20031029;RAP;3326196069
001;20030101;1;20030101;20031231;O;6220;1071;82181000;14.50;;0.00;20021008;RAP;3243159498
001;20030101;2;20030101;20031231;K;6220;1071;62099999;1.00;;0.00;20021008;RAP;3243159498
001;20020101;1;20020101;20021231;O;6220;1071;82181000;13.60;;0.00;20011031;EUR;3213621519
001;20020101;2;20020101;20021231;K;6220;1071;62099999;1.00;;0.00;20011031;EUR;3213621519
001;20000101;1;20000101;20011231;O;6220;1071;82181000;30.00;;0.00;20011031;RAP;3213621518
001;20000101;2;20000101;20011231;K;6220;1071;62099999;1.00;;0.00;20011031;RAP;3213621518
002;20060101;1;20060101;20090630;O;2050;1141;82181100;84.00;;0.00;20090623;SAP;3454851720
002;20060101;2;20060101;20090630;K;2050;1141;62099999;1.00;;0.00;20090623;SAP;3454851720
002;20050527;1;20050527;20051231;O;2050;1141;82181100;80.00;;0.00;20051215;SAP;3343741283
002;20050527;2;20050527;20051231;K;2050;1141;62099999;1.00;;0.00;20051215;SAP;3343741283
002;20050401;1;20050401;20050526;O;2050;1141;82181200;80.00;;0.00;20050323;RAP;3326196069
002;20050401;2;20050401;20050526;K;2050;1141;62099999;1.00;;0.00;20050323;RAP;3326196069
002;20050105;1;20050105;20050331;O;6210;1141;82181100;160.00;;0.00;20050104;RAP;3313919190
002;20050105;2;20050105;20050331;K;6210;1141;62099999;1.00;;0.00;20050104;RAP;3313919190
002;20050101;1;20050101;20050104;O;6210;1141;82181100;160.00;;0.00;20041026;RAP;3307851643
002;20050101;2;20050101;20050104;K;6210;1141;62099999;1.00;;0.00;20041026;RAP;3307851643
002;20040101;1;20040101;20041231;O;6210;1141;82181100;157.50;;0.00;20031106;RAP;3277193831
002;20040101;2;20040101;20041231;K;6210;1141;62099999;1.00;;0.00;20031106;RAP;3277193831
002;20031105;1;20031105;20031231;O;6210;1141;82181100;150.00;;0.00;20031104;RAP;3277026985
002;20031105;2;20031105;20031231;K;6210;1141;62099999;1.00;;0.00;20031104;RAP;3277026985
002;20031101;1;20031101;20031104;O;6210;1141;82181100;157.50;;0.00;20031031;RAP;3276689690
002;20031101;2;20031101;20031104;K;6210;1141;62099999;1.00;;0.00;20031031;RAP;3276689690
002;20030101;1;20030101;20031031;O;6210;1141;82181000;150.00;;0.00;20021008;RAP;3243159940
002;20030101;2;20030101;20031031;K;6210;1141;62099999;1.00;;0.00;20021008;RAP;3243159940
002;20020901;1;20020901;20021231;O;6210;1141;82181000;142.90;;0.00;20020813;RAP;3238324895
002;20020901;2;20020901;20021231;K;6210;1141;62099999;1.00;;0.00;20020813;RAP;3238324895
002;20020101;1;20020101;20020831;O;6220;1151;82181000;0.00;;0.00;20011031;EUR;3213621519
002;20020101;2;20020101;20020831;K;6220;1151;62099999;1.00;;0.00;20011031;EUR;3213621519
002;20000101;1;20000101;20011231;O;6220;1151;82181000;0.00;;0.00;20011031;RAP;3213621518
002;20000101;2;20000101;20011231;K;6220;1151;62099999;1.00;;0.00;20011031;RAP;3213621518
002;19960101;1;19960101;19991231;O;6220;15;82181000;0.00;;0.00;20010616;RAP;3201759078
002;19960101;2;19960101;19991231;K;6220;15;62181000;1.00;;0.00;20010616;RAP;3201759078
003;20130110;1;20130110;99999999;O;4600;1151;82121100;16.00;;0.00;20130109;SAP;3566826018
003;20130110;2;20130110;99999999;K;4600;1151;62099999;1.00;;0.00;20130109;SAP;3566826018
003;20130104;1;20130104;20130109;O;4600;1151;82121100;15.00;;0.00;20130103;SAP;3566826018
003;20130104;2;20130104;20130109;K;4600;1151;62099999;1.00;;0.00;20130103;SAP;3566826018
003;20100101;1;20100101;20130103;O;2050;1151;82121100;15.00;;0.00;20091231;SAP;3566307618
003;20100101;2;20100101;20130103;K;2050;1151;62099999;1.00;;0.00;20091231;SAP;3566307618
003;20050706;1;20050706;20091231;O;2050;1151;82121100;15.00;;0.00;20091102;SAP;3466256504
003;20050706;2;20050706;20091231;K;2050;1151;62099999;1.00;;0.00;20091102;SAP;3466256504
003;20050527;1;20050527;20050705;O;2050;1151;82181000;15.00;;0.00;20050526;SAP;3329658047
003;20050527;2;20050527;20050705;K;2050;1151;62099999;1.00;;0.00;20050526;SAP;3329658047
003;20040101;1;20040101;20050526;O;6220;1151;82121100;15.00;;0.00;20050111;RAP;3326196069
003;20040101;2;20040101;20050526;K;6220;1151;62099999;1.00;;0.00;20031029;RAP;3326196069
003;20030101;1;20030101;20031231;O;6220;1151;82181000;11.50;;0.00;20021008;RAP;3243160107
003;20030101;2;20030101;20031231;K;6220;1151;62099999;1.00;;0.00;20021008;RAP;3243160107
003;20020101;1;20020101;20021231;O;6220;1151;82181000;11.30;;0.00;20011031;EUR;3213621519
003;20020101;2;20020101;20021231;K;6220;1151;62099999;1.00;;0.00;20011031;EUR;3213621519
003;20000101;1;20000101;20011231;O;6220;1151;82181000;25.00;;0.00;20011031;RAP;3213621518
003;20000101;2;20000101;20011231;K;6220;1151;62099999;1.00;;0.00;20011031;RAP;3213621518
003;19961012;1;19961012;19991231;O;6220;15;82181000;25.00;;0.00;20010616;RAP;3201759078
003;19961012;2;19961012;19991231;K;6220;15;62181000;1.00;;0.00;20010616;RAP;3201759078
003;19960101;1;19960101;19961011;O;6220;15;82181000;25.00;;0.00;19960925;RAP;3052739738
003;19960101;2;19960101;19961011;K;6220;15;62181000;1.00;;0.00;19960925;RAP;3052739738
004;20050601;1;20050601;99999999;O;3010;1291;83012020;4.60;;0.00;20050531;SAP;3326696293
004;20050601;2;20050601;99999999;K;3010;1291;63099999;1.00;;0.00;20050531;SAP;3326696293
004;20040123;1;20040123;20050531;O;3010;1291;99999999;1.00;;0.00;20040122;RAP;3326696293
004;20040123;2;20040123;20050531;K;3010;1291;63099999;1.00;;0.00;20040122;RAP;3326696293
004;20030101;1;20030101;20040122;O;3010;1291;83021310;113.25;;0.00;20021126;RAP;3247374345
004;20030101;2;20030101;20040122;K;3010;1291;63099999;1.00;;0.00;20021126;RAP;3247374345
