PRODUKT_CODE;B_DAT_PRODUKT;E_DAT_PRODUKT;NAAM_PRODUKT;BEDRAG_NET_PROD;BEDRAG_BTW_PROD;KOST_PRYS_PROD;MUT_DAT_PROD;AMBT_CODE_MUT;TAR_CODE_PROD;ORG_OND_C_PROD;TYD_STEMPEL
*RBD0001;20000101;99999999;ZIE UW NOTA AFD. TW;0.00;0.00;0.00;20010616;RAP;0;BID;3201759078
*RBD0001;19971101;19991231;ZIE UW NOTA AFD. TW;0.00;0.00;0.00;20010616;RAP;0;BID;3201759078
001;20090311;20091231;ADR-DOCUMENT;15.00;0.00;1.00;20091102;SAP;865;BUD;3466256503
001;20090205;20090310;AFGIFTE DOCUMENT (ADR/COP/CEMT/TAXIBIJL);15.00;0.00;1.00;20090204;SAP;865;BUD;3445787054
001;20070106;20090204;ADR-DOCUMENT;15.00;0.00;1.00;20070105;SAP;865;BUD;3442842113
001;20050706;20070105;VLG-DOCUMENT;15.00;0.00;1.00;20050705;SAP;865;BUD;3377091732
001;20050527;20050705;VLG-DOCUMENT;15.00;0.00;1.00;20050526;SAP;865;BUD;3329658046
001;20040101;20050526;VLG-DOCUMENT;15.00;0.00;1.00;20031029;RAP;865;BUD;3326196007
001;20030101;20031231;VLG-DOCUMENT;14.50;0.00;1.00;20021008;RAP;865;BUD;3243159498
001;20020101;20021231;VLG-DOCUMENT;13.60;0.00;1.00;20011031;EUR;865;BUD;3213621518
001;20000101;20011231;VLG-DOCUMENT;30.00;0.00;1.00;20011031;RAP;865;BUD;3213621519
002;20060101;20090630;TOESLAG INDIV. TOEL. EENVOUDIGE AHW;84.00;0.00;1.00;20090623;SAP;967;BUD;3454851719
002;20050527;20051231;TOESLAG INDIV. TOEL. EENVOUDIGE AHW;80.00;0.00;1.00;20051215;SAP;967;BUD;3343741279
002;20050401;20050526;TOESLAG INDIV. TOEL. EENVOUDIGE AHW;80.00;0.00;1.00;20050323;RAP;967;BUD;3326196007
002;20050105;20050331;PRODUCT VERVALLEN;160.00;0.00;1.00;20050104;RAP;967;BUD;3313919190
002;20050101;20050104;CONVERSIE ROUTE A;160.00;0.00;1.00;20041026;RAP;967;BUD;3307851643
002;20040101;20041231;CONVERSIE ROUTE A;157.50;0.00;1.00;20031106;RAP;967;BUD;3277193831
002;20031105;20031231;CONVERSIE ROUTE A;150.00;0.00;1.00;20031104;RAP;967;BUD;3277026985
002;20031101;20031104;CONVERSIE ROUTE A;157.50;0.00;1.00;20031031;RAP;967;BUD;3276689690
002;20030101;20031031;CONVERSIE ROUTE A;150.00;0.00;1.00;20021008;RAP;967;BUD;3243159940
002;20020901;20021231;CONVERSIE ROUTE A;142.90;0.00;1.00;20020813;RAP;967;BUD;3238324895
002;20020101;20020831;VERVANGEND KEURINGSRAPPORT/STICKER;0.00;0.00;1.00;20011031;EUR;967;BUD;3213621518
002;20000101;20011231;VERVANGEND KEURINGSRAPPORT/STICKER;0.00;0.00;1.00;20011031;RAP;967;BUD;3213621519
002;19960101;19991231;VERVANGEND KEURINGSRAPPORT/STICKER;0.00;0.00;1.00;20010616;RAP;967;BUD;3201759078
003;20130110;99999999;VERVANGEND KEURINGSBEWIJS;16.00;0.00;1.00;20130109;SAP;963;BUD;3566826017
003;20130104;20130109;VERVANGEND KEURINGSBEWIJS;15.00;0.00;1.00;20130103;SAP;963;BUD;3566826017
003;20100101;20130103;VERVANGEND KEURINGSBEWIJS;15.00;0.00;1.00;20091231;SAP;963;BUD;3566307616
003;20050706;20091231;VERVANGEND KEURINGSBEWIJS;15.00;0.00;1.00;20091102;SAP;963;BUD;3466256503
003;20050527;20050705;VERVANGEND KEURINGSBEWIJS;15.00;0.00;1.00;20050526;SAP;963;BUD;3329658046
003;20040101;20050526;VERVANGEND KEURINGSBEWIJS;15.00;0.00;1.00;20031029;RAP;963;BUD;3326196006
003;20030101;20031231;VERVANGEND KEURINGSBEWIJS;11.50;0.00;1.00;20021008;RAP;963;BUD;3243160107
003;20020101;20021231;VERVANGEND KEURINGSBEWIJS;11.30;0.00;1.00;20011031;EUR;963;BUD;3213621518
003;20000101;20011231;VERVANGEND KEURINGSBEWIJS;25.00;0.00;1.00;20011031;RAP;963;BUD;3213621519
003;19961012;19991231;VERVANGEND KEURINGSBEWIJS;25.00;0.00;1.00;20010616;RAP;963;BUD;3201759078
003;19960101;19961011;DUPLICAAT KEURINGSBEWIJS;25.00;0.00;1.00;19960424;RAP;963;BUD;3039417407
004;20050601;99999999;BETAALDE INLICHTINGEN WAM;4.60;0.00;1.00;20050531;SAP;912;BUD;3326696291
004;20040123;20050531;PRODUCT VERVALLEN 01-01-'04 (SPOEDAFH.);1.00;0.00;1.00;20040122;RAP;912;BUD;3326696291
004;20030101;20040122;SPOEDAFHANDELING;113.25;0.00;1.00;20021126;RAP;912;BUD;3247374345
004;20020101;20021231;SPOEDAFHANDELING;113.25;0.00;1.00;20011107;RAP;912;BUD;3214203780
004;20000101;20011231;SPOEDAFHANDELING;250.00;0.00;1.00;20011031;RAP;912;BUD;3213621519
004;19961008;19991231;SPOEDAFHANDELING;250.00;0.00;1.00;20010616;RAP;912;BUD;3201759078
004;19960101;19961007;SPOEDAFHANDELING;250.00;0.00;1.00;19960424;RAP;912;BUD;3039416969
005;20110901;99999999;UITVOERVERKLARING ZONDER KENTEKEN;0.00;0.00;1.00;20110831;SAP;985;BUD;3523885275
005;20100101;20110831;UITVOERVERKLARING ZONDER KENTEKEN;11.50;0.00;1.00;20110818;SAP;985;BUD;3522762084
005;20070101;20091231;UITVOERVERKLARING ZONDER KENTEKEN;11.50;0.00;1.00;20091102;SAP;985;BUD;3466256503
005;20060106;20061231;UITVOERVERKLARING ZONDER KENTEKEN;11.55;0.00;1.00;20061204;SAP;985;BUD;3374326927
005;20050527;20060105;UITVOERVERKLARING ZONDER KENTEKEN;11.55;0.00;1.00;20050526;SAP;985;BUD;3345555690
005;20050101;20050526;UITVOERVERKLARING ZONDER KENTEKEN;11.55;0.00;1.00;20041026;RAP;985;BUD;3326196006
005;20040101;20041231;UITVOERVERKLARING ZONDER KENTEKEN;11.00;0.00;1.00;20031029;RAP;985;BUD;3276498609
005;20020101;20031231;UITVOERVERKLARING;0.00;0.00;1.00;20011031;EUR;985;BUD;3213621518
005;20000101;20011231;UITVOERVERKLARING;0.00;0.00;1.00;20011031;RAP;985;BUD;3213621519
005;19961002;19991231;UITVOERVERKLARING;0.00;0.00;1.00;20010616;RAP;985;BUD;3201759078
005;19960101;19961001;UITVOERVERKLARING;0.00;0.00;1.00;19960424;RAP;985;BUD;3039418493
