PROD_CODE;PROD_OMS;NORM_TYD_ADM;PROD_RDW_PROD_D;SRT_WERK_INSTR;WERK_INSTR_VNR;PROC_ID_PROD;SOORT_PROD;B_DAT_PROD;E_DAT_PROD;PROD_KLAS;ART_SL_KAPSTOK;STEEK_PR_P_PROD;MAX_ST_PR_PROD;SCH_T_WO_PROD;ORG_OND_PROD;PRES_VNR_PROD;PRES_GROEP_PROD;TYD_STEMPEL
AANMTYDDOC;Aanmaken tijdelijk documentnummer;NULL;NULL;NULL;NULL;2950;A;20131228;29991231;A;NULL;10;NULL;185;APR;25;700;3637757424
AANVKENTCD;Aanvragen kentekencard;NULL;30221209;NULL;NULL;2825;A;20131228;29991231;A;NULL;10;NULL;185;APR;20;700;3637757432
AANVTENCD;Aanvragen tenaamstellingscode;NULL;NULL;NULL;NULL;2884;A;20131228;29991231;A;NULL;10;NULL;185;APR;30;700;3637757441
COREINDSCH;Correctie beëindigen schorsing;NULL;NULL;NULL;NULL;2332;A;20081024;29991231;A;NULL;10;NULL;185;APR;40;600;3637756753
DLMASBERTL;Deelmassaal beëindigen verplichtingverwijzingen;NULL;NULL;NULL;NULL;3003;A;20141215;29991231;A;NULL;100;NULL;185;APR;70;970;3637757560
DLMASBEVVB;Deelmassaal beëindigen verstrekkingsvoorbehouden;NULL;NULL;NULL;NULL;3002;A;20141215;29991231;A;NULL;100;NULL;185;APR;90;970;3637757550
DLMASOVRTL;Deelmassaal overzetten verplichtingverwijzingen;NULL;NULL;NULL;NULL;2912;A;20131228;29991231;A;NULL;10;NULL;185;APR;45;970;3637757500
DLMASPLRTL;Deelmassaal plaatsen verplichtingverwijzingen;NULL;NULL;NULL;NULL;2765;A;20120602;29991231;A;NULL;10;NULL;185;APR;60;970;3637757334
DLMASPLVVB;Deelmassaal opvoeren verstrekkingsvoorbehoud;NULL;NULL;NULL;NULL;3001;A;20141215;29991231;A;NULL;100;NULL;185;APR;80;970;3637757539
DMASHERPR;Deelmassale herprint;NULL;NULL;NULL;NULL;2787;A;20121121;20140101;A;NULL;NULL;NULL;185;APR;5;800;3596963990
DMASKENTCD;Deelmassale aanvraag kentekencard;NULL;NULL;NULL;NULL;2910;A;20131228;29991231;A;NULL;10;NULL;185;APR;45;800;3637757467
DMASTEN;Deelmassale tenaamstelling;NULL;NULL;NULL;NULL;2391;A;20090120;29991231;A;NULL;100;NULL;185;APR;20;800;3637756776
EINDSCHOR;Beëindigen schorsing;NULL;NULL;NULL;NULL;2355;A;20081024;29991231;A;NULL;10;NULL;185;APR;30;600;3637756743
EINDVPLVRW;Beëindigen verplichtingenverwijzing;NULL;NULL;NULL;NULL;2764;A;20120602;29991231;A;NULL;10;NULL;185;APR;20;970;3637757318
HERPRDL1B;Herprint deel 1B;NULL;NULL;NULL;NULL;2389;A;20090120;20140101;A;NULL;NULL;NULL;185;APR;10;700;3596963966
INFBRFA;Informatiebrief aansprakelijkheidsregistratie;NULL;NULL;NULL;NULL;2513;A;20100402;29991231;A;NULL;10;NULL;185;APR;10;950;3637757253
INFBRFP;Informatiebrief persoonsregistratie;NULL;NULL;NULL;NULL;2514;A;20100402;29991231;P;NULL;10;NULL;185;APR;10;900;3637757261
INTRVERINT;Intrekken overdracht;NULL;NULL;NULL;NULL;2978;A;20140815;29991231;A;NULL;NULL;NULL;185;APR;98;999;3617092146
MASHERPR;Massale herprint deel 1B;NULL;NULL;NULL;NULL;2392;A;20090120;20140101;A;NULL;NULL;NULL;185;APR;10;800;3596963977
MASOVRTL;Massaal overzetten verplichtingenverwijzingen;NULL;NULL;NULL;NULL;2911;A;20131228;29991231;A;NULL;10;NULL;185;APR;50;970;3637757509
MASSKENTCD;Massale aanvraag kentekencard;NULL;NULL;NULL;NULL;2909;A;20131228;29991231;A;NULL;10;NULL;185;APR;40;800;3637757451
MASTEN;Massale tenaamstelling;NULL;NULL;NULL;NULL;2390;A;20090120;29991231;A;NULL;100;NULL;185;APR;30;800;3637756705
MASTYDTC;Massaal aanvragen tijdelijk documentnummer;NULL;NULL;NULL;NULL;2951;A;20140125;29991231;A;NULL;10;NULL;185;APR;50;800;3637757521
MUTCORADR;Vastleggen correspondentieadres;NULL;NULL;NULL;NULL;2295;A;20091211;29991231;P;NULL;10;NULL;185;APR;10;200;3652595878
ONBESTRET;Onbestelbaar retour;NULL;NULL;NULL;NULL;2583;A;20100608;29991231;P;NULL;5;NULL;185;APR;40;200;3652595928
OPHTAR;Opheffen tarief;NULL;NULL;NULL;NULL;2366;A;20090120;29991231;A;NULL;10;NULL;1;APR;10;900;3637756793
OPVAANSORB;Opname in bedrijfsvoorraad met ORB;NULL;30221103;NULL;NULL;NULL;A;20131228;29991231;A;NULL;NULL;NULL;40;APR;99;999;3641118441
OPVAANSPR;Opvoeren aansprakelijkheid;NULL;NULL;NULL;NULL;2328;A;20090120;29991231;A;NULL;10;NULL;550;APR;10;200;3637756660
OPVAANTEN;Opvoeren aansprakelijkheid vanuit tenaamstellen;NULL;NULL;NULL;NULL;2852;A;20131228;29991231;A;NULL;10;NULL;92;APR;30;200;3637757349
OPVEENMM;Opvoeren eenmalige machtiging;NULL;NULL;NULL;NULL;NULL;A;20131201;29991231;A;NULL;NULL;NULL;185;APR;99;999;3596967917
OPVELECM;Opvoeren digitale machtiging;NULL;NULL;NULL;NULL;NULL;A;20131201;29991231;A;NULL;NULL;NULL;185;APR;99;999;3596965563
OPVOPDTEN;Opvoeren opdracht tot tenaamstellen;NULL;30221210;NULL;NULL;NULL;A;20131201;29991231;A;NULL;NULL;NULL;185;APR;99;999;3596964645
OPVPERS;Opvoeren persoon;NULL;NULL;NULL;NULL;2409;A;20100511;29991231;P;NULL;25;NULL;185;APR;10;200;3637757019
OPVPERSKVK;Opvoeren persoon KvK;NULL;NULL;NULL;NULL;2459;A;20091212;29991231;P;NULL;10;NULL;185;APR;20;300;3637757195
OPVPERSPRK;Opvoeren persoon PuRK;NULL;NULL;NULL;NULL;2453;A;20091212;29991231;P;NULL;10;NULL;185;APR;30;300;3637757206
OPVVERBEH;Opvoeren verstrekkingsvoorbehoud;NULL;NULL;NULL;NULL;2908;A;20131228;29991231;A;NULL;10;NULL;185;APR;30;970;3637757377
OPVVERINT;Plaatsen overdracht;NULL;NULL;NULL;NULL;2974;A;20140815;29991231;A;NULL;NULL;NULL;185;APR;97;999;3617528836
OVERZAANSP;Overzetten aansprakelijkheid;NULL;NULL;NULL;NULL;2293;A;20090120;29991231;A;NULL;10;NULL;185;APR;10;300;3637756626
OWASAANSPR;Opvoeren aspirant aansprakelijke;NULL;NULL;NULL;NULL;2294;A;20090120;29991231;A;NULL;10;NULL;185;APR;10;500;3637756639
PLEINDAANS;Plaatsen einddatum aansprakelijkheid;NULL;NULL;NULL;NULL;2329;A;20090120;29991231;A;NULL;10;NULL;550;APR;10;100;3637756671
PLSCHORSEN;Plaatsen schorsing;NULL;NULL;NULL;NULL;2354;A;20081024;29991231;A;NULL;10;NULL;185;APR;10;600;3637756721
SAMPERSNP;Samenvoegen natuurlijke personen;NULL;NULL;NULL;NULL;2462;A;20091212;29991231;P;NULL;25;NULL;185;APR;10;700;3637756960
SAMPERSRP;Samenvoegen rechtspersonen;NULL;NULL;NULL;NULL;2461;A;20091212;29991231;P;NULL;10;NULL;185;APR;20;700;3637756973
VERCORADR;Verwijderen correspondentieadres;NULL;NULL;NULL;NULL;2432;A;20091212;29991231;P;NULL;10;NULL;185;APR;20;200;3652595913
VERSCHORS;Verwijderen schorsing;NULL;NULL;NULL;NULL;2331;A;20081024;29991231;A;NULL;10;NULL;185;APR;20;600;3637756733
VERVPGEG;Verversen persoonsgegevens;NULL;NULL;NULL;NULL;2463;A;20091212;29991231;P;NULL;1;NULL;185;APR;10;100;3640175086
VERWAANSPR;Verwijderen aansprakelijkheid;NULL;NULL;NULL;NULL;2280;A;20090120;29991231;A;NULL;10;NULL;550;APR;10;400;3637756588
VERWADM;Verwijderen administratieve beëindiging;NULL;NULL;NULL;NULL;2437;A;20091212;29991231;P;NULL;10;NULL;185;APR;20;500;3637756894
VERWEDAT;Verwijderen einddatum aansprakelijkheid;NULL;NULL;NULL;NULL;2281;A;20090120;29991231;A;NULL;10;NULL;550;APR;20;400;3637756611
VERWMACHT;Verwijderen machtiging;NULL;NULL;NULL;NULL;2388;A;20090120;20140101;A;NULL;NULL;NULL;185;APR;20;500;3596963626
VERWPERS;Verwijderen persoon;NULL;NULL;NULL;NULL;2457;A;20091212;29991231;P;NULL;10;NULL;185;APR;40;300;3637756904
VERWVERBEH;Beëindigen verstrekkingsvoorbehoud;NULL;NULL;NULL;NULL;2830;A;20131228;29991231;A;NULL;10;NULL;185;APR;40;970;3637757410
VSTLGADM;Vastleggen administratieve beëindiging;NULL;NULL;NULL;NULL;2435;A;20091212;29991231;P;NULL;50;NULL;185;APR;10;500;3637756864
VSTLGADRES;Wijzigen adres en/of gemeente van inschrijving;NULL;NULL;NULL;NULL;2458;A;20091212;29991231;P;NULL;10;NULL;185;APR;30;200;3637756926
VSTLGNAT;Vastleggen nationaliteit(en);NULL;NULL;NULL;NULL;2436;A;20091212;29991231;P;NULL;10;NULL;185;APR;20;600;3637756916
VSTLGPERS;Opvoeren persoon NP;NULL;NULL;NULL;NULL;2409;A;20090123;29991231;P;NULL;25;NULL;185;APR;10;300;3637757707
