ORG_OND_CODE;PROD_CODE_VRTG;B_DAT_PROD_ORG;E_DAT_PROD_ORG;TYD_STEMPEL
VRD;1EAFGAL;20090220;29991231;3444209568
VRD;1EAFGAZ;20090220;29991231;3444209580
VRD;1EAFGBL;20090220;29991231;3444209539
VRD;1EAFGBZ;20090220;29991231;3444209552
VRD;1EAFGC;20140114;29991231;3598791153
VRD;1EAFGM;20140114;29991231;3598791174
VRD;1EAFGP;20140114;29991231;3598791115
VRD;1EAFGTQ;20090220;29991231;3444209596
VRD;BEHAFWTEL;20150202;29991231;3631968820
VRD;BRONKENT;20100330;29991231;3479017266
VRD;BRONKENTBL;20100924;29991231;3494394523
VRD;BRONKENTM;20100924;29991231;3494394241
VRD;CORFTEL;20131209;29991231;3595674708
VRD;DMC;20131224;29991231;3596974823
VRD;ENDBRG;20131224;29991231;3596974865
VRD;ENDWOK;20131224;29991231;3596975001
VRD;EXPKENT;20100728;29991231;3489405063
VRD;EXPVRF;20131230;29991231;3597488945
VRD;GASINADMB;20100728;29991231;3489405081
VRD;GASINADMP;20100728;29991231;3489405094
VRD;GASINFAB;20100728;29991231;3489405108
VRD;GASINFYSB;20100728;29991231;3489405121
VRD;GASINFYSP;20130215;29991231;3570014358
VRD;GASUITB;20100728;29991231;3489405157
VRD;GASUITP;20130215;29991231;3570014373
VRD;HERACT;20130215;29991231;3570014386
VRD;HERPRKBET;20100728;29991231;3489405200
VRD;HERPRKENT;20130215;29991231;3570014403
VRD;HISTKEN;20100728;29991231;3489405230
VRD;HISTKENC;20100728;29991231;3489405240
VRD;INVBRG;20131227;29991231;3597210587
VRD;INVEXP;20131227;29991231;3597210664
VRD;INVO-V;20131227;29991231;3597210844
VRD;INVSLP-NEB;20131227;29991231;3597210934
VRD;IPV;20100728;29991231;3489405307
VRD;KENTVERW;20100728;29991231;3489405320
VRD;KLW;20100728;29991231;3489405365
VRD;LBKENT;20100119;29991231;3472971005
VRD;MODCVO;20151216;29991231;3659349934
VRD;NIEUWKEN;20131227;29991231;3597211750
VRD;NIMUIT;20100728;29991231;3489405394
VRD;OMWPLVIN;20100728;29991231;3489405413
VRD;ONGVTEL;20131209;29991231;3595674863
VRD;OORSPKEN;20131227;29991231;3597212207
VRD;OORSPKENC;20100728;29991231;3489405440
VRD;OPNTEL;20131209;29991231;3595674641
VRD;OPVADVIESP;20090220;29991231;3444209748
VRD;OPVCTEL;20131209;29991231;3595675015
VRD;OPVVERVTEL;20150202;29991231;3631967856
VRD;REGGASB;20150331;29991231;3636887670
VRD;REGGASP;20150331;29991231;3636887525
VRD;RESTIAK;20070706;29991231;3392799553
VRD;RVI;20100728;29991231;3489405469
VRD;SCHKNT;20100728;29991231;3489405482
VRD;SCHLBK;20100119;29991231;3472972723
VRD;SEMIA;20130215;29991231;3570014494
VRD;SEMIB;20130215;29991231;3570014506
VRD;SEMITQ;20100728;29991231;3489405516
VRD;T100CNV;20100728;29991231;3489405533
